# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 1.3947862409009493,3.192201729376827,1.2217334176147965,-5.0196977959945235,177.3673144789571,0.0,-1.287022178358316,-0.776987387486646,-78.78908826637488,-705.2219910909837
 1.4063035127032215,3.2056067739145235,1.1639079781942865,-5.020758423804986,176.34993726267348,0.0,-1.523327783150604,-0.6564575339995193,-88.33491418366333,-828.8270070525866
 1.4177208864480102,3.2182409127563214,1.106571364326631,-5.021874132291238,175.2135653345187,0.0,-1.8164747345803285,-0.5505168780842065,-99.53006300362631,-980.5362485460253
 1.4290340969686963,3.2301168978444776,1.049744903662942,-5.023018051311097,173.93807697633093,0.0,-2.183411241976158,-0.4579989242406399,-112.7432708739535,-1167.945018451389
 1.440239108101885,3.241248508866201,0.9934493495282574,-5.024140847833685,172.4989110220044,0.0,-2.6470116674130293,-0.3777845078323049,-128.4394934748259,-1400.8216872164344
 1.4513324903884883,3.251650810776438,0.9377033659787805,-5.025156630254915,170.86591098278495,0.0,-3.2383437258997487,-0.3087998324582292,-147.20488278777586,-1691.5841199858096
 1.4623120360930182,3.261340490936215,0.8825210460009366,-5.02592014850643,169.00186084980618,0.0,-3.9997638402993005,-0.25001476085277335,-169.77479607464338,-2055.632709607991
 1.4731777533609067,3.27033630397727,0.8279078885698914,-5.026189811918216,166.86066235674807,0.0,-4.988988342166415,-0.20044143850730278,-197.06002284690106,-2511.1298315200747
 1.4839334712759198,3.2786596625419793,0.7738543006126457,-5.025567645447127,164.3851438657209,0.0,-6.2840367917084485,-0.15913337765931965,-230.15836884043006,-3077.279104477964
 1.4945894405099764,3.286335424462176,0.7203250827399847,-5.023402066663323,161.50460706234887,0.0,-7.988164333070825,-0.1251852063007795,-270.32142643259243,-3769.066586998075
 1.5051665810084038,3.2933929401047104,0.6672423084087659,-5.018631863603514,158.13249490011358,0.0,-10.23191568631842,-0.09773340893896805,-318.8113236026928,-4584.405130792188
 1.5157035108707841,3.2998674318133734,0.6144571325067539,-5.0095404061167095,154.16515817163287,0.0,-13.165070537890399,-0.07595857516462971,-376.5173328756018,-5476.548674669941
 1.526268415468558,3.305801765627955,0.5617025463563666,-4.9933802678638,149.48384173479954,0.0,-16.92335142835744,-0.059089950606613324,-443.10068240651776,-6302.314319520313
 1.5369797575982254,3.3112486108822514,0.5085119295377718,-4.96582185263897,143.96389150278017,0.0,-21.54547998622805,-0.046413447304919815,-515.3369358570542,-6743.903105331902
 1.5479796300978965,3.3162728075922017,0.4567504496166155,-4.705643626569646,137.4973754102595,0.0,-26.82072160807095,-0.03728460459091741,-587.8719133075375,-6594.165291702412
 1.559307237959427,3.320953408141775,0.41320291157578787,-3.844371960360542,130.03533329662338,0.0,-32.10488399353707,-0.031147908841573972,-658.7482727909264,-6256.957369092086
 1.5708782493721998,3.325384352480637,0.3829349207944613,-2.615846592970697,121.64760189414474,0.0,-36.28112375674471,-0.02756254207297255,-724.8918096493936,-5716.314200974196
 1.5825720943756163,3.3296723999533566,0.3666926893136526,-1.3889555980999633,112.57579613375209,0.0,-38.12267329414841,-0.026231109038029967,-775.7761247683887,-4351.375882280677
 1.5942450304927944,3.333931467183401,0.3648668327565595,-0.15641793450802338,103.23084547141255,0.0,-37.005572803985835,-0.027022956928592416,-800.5655619572306,-2123.6676822347285
 1.605752788187801,3.3382742634559777,0.3773798847416636,1.0873579646653182,94.1020831225446,0.0,-33.35368794508807,-0.029981692028970008,-793.270295639697,633.9433372584003
 1.6169736238332275,3.3428039493989887,0.40368525893678436,2.344332902322007,85.61654980842187,0.0,-28.318992364736093,-0.035311990875962054,-756.2300689772084,3301.0221192916256
